Tajikistan,9100837
Turkmenistan,5850908
Latin America & the Caribbean (IDA & IBRD countries),625569713
Timor-Leste,1267972
Middle East & North Africa (IDA & IBRD countries),378327628
Tonga,103197
South Asia (IDA & IBRD),1814388744
Sub-Saharan Africa (IDA & IBRD countries),1078306520
Trinidad and Tobago,1389858
Tunisia,11565204
Turkey,82319724
Tuvalu,11508
Tanzania,56318348
Uganda,42723139
Ukraine,44622516
Upper middle income,2655635719
Uruguay,3449299
US,327167434
Uzbekistan,32955400
Saint Vincent and the Grenadines,110210
Venezuela,28870195
British Virgin Islands,29802
Virgin Islands (U.S.),106977
Vietnam,95540395
Vanuatu,292680
World,7594270356
Samoa,196130
Kosovo,1845300
"Yemen, Rep.",28498687
South Africa,57779622
Zambia,17351822
Zimbabwe,14439018
